age	gender	daily.views
57	Female	30.3
64	Male	136.8
46	Female	62.9
52	Female	28.3
52	Female	397.9
65	Male	70.3
46	Female	616.8
28	Female	150.8
25	Male	48.5
53	Female	109.2
54	Male	12.9
20	Female	75.6
47	Female	192.9
38	Female	90.5
63	Female	116.1
60	Male	210.1
64	Male	187.5
50	Female	48.3
30	Female	50.4
59	Male	67.2
54	Female	6.8
48	Female	48.2
49	Female	360.1
66	Male	264.5
42	Male	345.9
44	Female	306.8
30	Female	454.4
60	Female	11.7
62	Male	64.4
42	Female	98.1
45	Female	97.5
58	Female	52.1
48	Female	27.7
33	Female	40.4
62	Female	303.9
37	Female	170.5
53	Female	29.8
65	Male	115.9
28	Female	12.8
33	Female	211.1
33	Female	145.4
62	Female	203.1
75	Female	1.6
46	Female	136.7
45	Male	47.7
16	Female	643.5
12	Female	356.8
50	Female	58.2
42	Female	172.5
56	Female	486.2
39	Female	249.8
65	Female	23.6
40	Female	126.9
71	Male	151.3
58	Male	20.4
66	Male	335.6
68	Female	76.9
54	Female	44.8
54	Male	123.1
58	Male	7.1
40	Female	211.1
34	Female	211.4
60	Female	199.8
65	Female	115
65	Male	25.8
44	Female	296.4
29	Female	234.3
38	Male	113.5
54	Female	54.4
52	Female	86.8
72	Female	32.7
51	Female	73.1
38	Male	175.4
38	Female	29.6
13	Male	69.2
17	Male	3.8
66	Female	36.7
62	Female	116
24	Female	139.7
61	Female	46.2
61	Female	181.1
32	Female	223.7
54	Male	479.5
28	Female	135.2
45	Female	100.3
62	Male	4.2
54	Male	263.8
51	Female	59.4
37	Male	377.9
30	Female	3.1
61	Female	26.6
58	Female	145.8
69	Female	66.2
40	Female	100.9
35	Female	83.4
60	Female	37.1
60	Female	45.9
56	Male	25.8
31	Female	2
41	Female	16.1
47	Male	13.6
50	Male	13.5
32	Female	208.3
59	Female	14.5
22	Female	16.8
62	Female	102.3
37	Female	37.5
41	Female	184
40	Male	62.6
53	Female	536
38	Female	286.3
61	Male	39
35	Male	104.5
31	Female	305.2
42	Male	50.1
57	Male	292.5
38	Male	4.3
50	Female	117.1
42	Male	132.7
51	Male	80.2
56	Male	193.8
60	Female	26.8
22	Female	26
38	Female	39.2
16	Female	39.4
9	Female	26.3
27	Female	348.3
57	Female	11.4
23	Female	1.8
18	Male	16.1
55	Male	54.2
27	Female	178.4
35	Male	38.2
47	Female	157.1
20	Male	106.5
48	Female	90.9
62	Male	23.1
26	Female	109
56	Female	42.3
75	Male	6
23	Female	14.3
61	Female	2.2
50	Male	66.7
37	Female	19.7
35	Male	3.3
45	Male	136.4
32	Female	92.2
13	Male	31.3
29	Male	85
50	Female	0.6
87	Female	34.3
49	Male	3.3
49	Female	2
40	Female	0.4
47	Female	12.3
44	Female	70.1
76	Male	13.8
34	Male	7.5
32	Female	89
10	Female	2.6
8	Female	2.3
27	Female	166.6
19	Male	6.9
71	Female	0.1
